sgRNA	Gene	MDA-MB-231-Reference	MDA-MB-231-Baseline	MDA-MB-231-Vehicle-1	MDA-MB-231-Vehicle-2	MDA-MB-231-Cpd-1	MDA-MB-231-Cpd-2
sg_2128_4	EVX1	952	750	686	658	622	546
sg_57562_2	CEP126	854	1046	1093	2141	1232	1423
sg_5798_3	PTPRN	403	497	301	934	403	425
sg_286380_3	FOXD4L3	701	596	371	552	558	621
sg_55808_1	ST6GALNAC1	567	554	495	477	660	1004
sg_1959_2	EGR2	1174	1258	1120	1021	544	367
sg_497190_2	CLEC18B	1009	929	455	485	343	624
sg_128346_2	C1orf162	1700	1440	718	1728	2070	1019
sg_84451_3	KIAA1804	1524	1559	946	1066	1952	985
sg_56101_3	PCDHGB5	571	516	341	530	538	1351
sg_7306_4	TYRP1	1065	1209	736	1093	1385	1002
sg_5327_4	PLAT	1909	2267	1290	1651	1655	2178
sg_255349_1	TMEM211	1060	1270	2305	8710	3039	1574
sg_402117_1	VWC2L	881	1477	1148	1049	1171	1351
sg_728858_1	C12orf71	1578	1544	1013	2072	1712	1296
sg_10350_1	ABCA9	1148	916	536	789	763	848
sg_10573_4	MRPL28	527	603	16	116	109	4
sg_29121_4	CLEC2D	1060	1525	1089	2484	1259	1803
sg_5653_3	KLK6	1804	2404	2625	3722	2136	1952
sg_55974_2	SLC50A1	384	386	331	732	481	445
sg_6014_1	RIT2	894	1082	841	1268	1231	1098
sg_3658_1	IREB2	638	607	275	372	130	153
sg_121441_1	NEDD1	1059	513	308	692	503	351
sg_57578_4	UNC79	1447	1330	856	1911	723	1066
sg_1399_3	CRKL	1692	1012	5	36	75	112
sg_283514_3	SIAH3	1980	2109	1805	2798	2379	1793
sg_3117_2	HLA-DQA1	1313	2062	4682	5726	5279	5568
sg_4139_3	MARK1	2781	4033	2944	5095	4299	5069
sg_51187_1	RSL24D1	964	386	54	132	150	152
sg_55860_3	ACTR10	1236	690	190	109	188	55
sg_1478_3	CSTF2	1366	1940	1980	2478	4407	2526
sg_114785_4	MBD6	803	989	628	2136	1687	1002
sg_4712_3	NDUFB6	1379	1531	241	465	403	179
sg_79295_1	OR5H6	698	932	848	831	861	1055
sg_85366_4	MYLK2	1880	1582	1225	1353	1000	1413
sg_8690_1	JRKL	489	587	132	203	548	430
sg_283748_3	PLA2G4D	849	920	415	908	949	411
sg_10463_4	SLC30A9	1011	1082	785	1345	1239	789
sg_51466_4	EVL	1241	1381	684	1115	596	617
sg_9917_1	FAM20B	1878	1822	2249	3075	2377	2109
sg_8450_3	CUL4B	1036	1081	785	1427	329	874
sg_729665_4	CCDC175	1516	2161	2717	3363	4106	2831
sg_56901_3	NDUFA4L2	1043	720	276	597	596	843
sg_140731_4	ANKRD60	1121	1402	789	969	453	573
sg_3222_4	HOXC5	1099	730	774	1330	711	384
sg_55051_4	NRDE2	784	292	325	297	503	228
sg_9180_3	OSMR	1410	2015	2087	3919	3593	3531
sg_200014_2	CC2D1B	1146	1045	689	834	703	446
sg_84251_3	SGIP1	1851	859	1404	2883	3073	1490
sg_9021_2	SOCS3	1089	1171	1382	2286	1843	2120
sg_56131_2	PCDHB4	645	751	413	477	942	483
sg_55631_4	LRRC40	1417	1192	1242	1816	862	1437
sg_7153_2	TOP2A	1328	180	161	33	67	180
sg_94241_2	TP53INP1	1711	1759	1688	2861	1959	2011
sg_4319_3	MMP10	2581	2795	2244	2965	2712	2904
sg_374355_4	CCDC172	2453	3551	5903	6565	4199	5610
sg_9554_4	SEC22B	1925	716	80	120	29	23
sg_5217_2	PFN2	3371	3681	2625	3544	3428	2853
sg_79838_4	TMC5	770	704	874	1076	1386	1837
sg_25976_3	TIPARP	1576	719	31	67	81	84
sg_53834_2	FGFRL1	1680	1645	2003	3454	909	2045
sg_10900_1	RUNDC3A	770	1233	1100	1807	793	988
sg_390148_2	OR5W2	1894	2669	2688	2960	4553	3396
sg_8428_3	STK24	1248	1113	3070	1921	1437	2913
sg_8927_2	BSN	1263	2098	2810	3205	3561	3220
sg_26301_4	GBGT1	1984	2985	2973	4238	3734	2949
sg_132430_1	PABPC4L	1715	2260	991	2327	1326	1346
sg_5901_4	RAN	954	1105	96	89	109	207
sg_122876_1	GPHB5	1312	1447	760	1127	608	1201
sg_84961_4	FBXL20	1636	1466	1332	2059	1649	1496
sg_135293_4	PM20D2	1496	1797	2524	3235	2573	2264
sg_84224_3	NBPF3	710	595	322	511	475	702
sg_27180_2	SIGLEC9	1508	1685	1066	1669	1324	1736
sg_747_3	DAGLA	851	721	637	1426	680	767
sg_284358_4	MAMSTR	1127	1573	1286	2339	1713	1920
sg_53615_1	MBD3	1944	2754	2973	4194	2918	1951
sg_57552_4	NCEH1	2685	2716	3402	5124	3171	4417
sg_286053_1	NSMCE2	1644	1987	110	158	451	135
sg_220972_4	MARCH8	2052	1957	1974	2024	1427	1879
sg_5080_2	PAX6	848	960	1318	1526	2090	1101
sg_1489_1	CTF1	364	366	202	425	743	611
sg_66005_2	CHID1	1906	2480	3282	5570	1943	5331
sg_50632_1	CALY	1040	1117	528	1364	999	862
sg_815_4	CAMK2A	599	634	559	1316	748	805
sg_6010_1	RHO	1088	1189	1034	1179	1492	1299
sg_10897_3	YIF1A	676	560	148	314	366	1155
sg_7079_3	TIMP4	682	623	361	693	474	692
sg_57620_3	STIM2	983	1732	2629	3765	2897	2493
sg_3156_2	HMGCR	1255	11	0	0	0	0
sg_54848_3	ARHGEF38	1803	2031	1834	1970	1160	1461
sg_55245_2	UQCC1	752	1033	454	1256	188	184
sg_728591_4	CCDC169	1749	1802	1963	1973	1895	2719
sg_644168_3	DRGX	3164	4589	5065	8849	6435	6601
sg_2915_1	GRM5	1763	2015	2265	2658	3422	1959
sg_22943_4	DKK1	1108	1045	735	1792	558	897
sg_23516_3	SLC39A14	190	267	554	294	296	374
sg_60561_3	RINT1	1448	1890	1850	1665	897	1309
sg_11332_2	ACOT7	1522	1538	1320	1172	1804	2812
sg_51596_4	CUTA	545	758	539	1730	539	979
sg_9187_3	SLC24A1	1905	2209	1999	2664	2888	2421
sg_163081_4	ZNF567	1250	1553	1181	2411	1678	1551
sg_22894_3	DIS3	1296	918	382	159	46	492
sg_29119_4	CTNNA3	819	741	235	852	618	478
sg_7498_4	XDH	1758	2222	2694	4012	2731	2810
sg_10935_4	PRDX3	740	1092	1056	1389	3021	1837
sg_2941_4	GSTA4	1110	1229	1833	2742	2390	2178
sg_54839_1	LRRC49	916	716	726	1228	1335	1793
sg_22976_1	PAXIP1	1000	1103	3441	13522	3210	3550
sg_1198_4	CLK3	3595	5118	14217	19764	12937	9430
sg_83787_4	ARMC10	1230	1519	381	965	723	954
sg_2059_2	EPS8	598	465	285	195	341	310
sg_57497_3	LRFN2	1389	1028	332	716	1449	1052
sg_132864_2	CPEB2	768	948	765	401	695	668
sg_9057_2	SLC7A6	693	874	439	1029	1337	437
sg_94086_4	HSPB9	1120	1270	643	1311	565	1259
sg_4340_2	MOG	1070	1155	762	932	971	767
sg_8078_3	USP5	2256	2452	683	1143	1111	956
sg_1438_1	CSF2RA	2432	3356	3295	5863	4697	4654
sg_64858_4	DCLRE1B	429	543	531	506	610	628
sg_1441_3	CSF3R	802	1130	1820	2606	2854	1898
sg_283297_3	OR10A4	1033	1074	1626	2352	1914	1854
sg_51103_1	NDUFAF1	707	919	579	549	603	436
sg_11120_4	BTN2A1	1651	1646	1990	2497	2221	2408
sg_340895_3	MALRD1	805	995	735	747	1231	914
sg_9858_2	PPP1R26	1631	1958	1913	3878	3328	4062
sg_1728_2	NQO1	1104	811	562	1654	651	1026
sg_2526_1	FUT4	799	747	301	572	513	576
sg_7398_3	USP1	1048	977	306	861	1204	994
sg_401934_4	RNF223	1891	2005	1612	2480	3137	2710
sg_57830_2	KRTAP5-8	1178	740	114	492	229	116
sg_100128553_1	CTAGE4	2175	1935	569	945	663	1262
sg_79825_3	EFCC1	1045	1435	1789	2585	2344	3772
sg_221908_1	PPP1R35	1345	1239	560	499	302	454
sg_387849_1	REP15	978	620	720	333	230	135
sg_9507_2	ADAMTS4	1350	1873	1439	1387	1270	3431
sg_9607_2	CARTPT	1788	1815	1836	1813	931	992
sg_132320_2	SCLT1	1176	1363	1929	2025	1765	3661
sg_83698_2	CALN1	489	601	476	748	960	671
sg_8431_3	NR0B2	1593	1279	1075	2157	1767	1842
sg_129685_1	TAF8	1461	1013	806	843	1068	544
sg_440087_1	SMCO3	1591	1842	1258	1849	1637	1403
sg_57662_2	CAMSAP3	222	416	351	585	403	670
