Gene,label
NASP,Essential_Gene
TINF2,Essential_Gene
VPS54,Essential_Gene
SLC7A5,Essential_Gene
LIN52,Essential_Gene
RBM48,Essential_Gene
MRPL12,Essential_Gene
DNAJB6,Essential_Gene
MFN2,Essential_Gene
MRPL39,Essential_Gene
COPS6,Essential_Gene
DDX24,Essential_Gene
SYF2,Essential_Gene
PRDX2,Essential_Gene
FARSB,Essential_Gene
CENPK,Essential_Gene
TFDP1,Essential_Gene
PRPF31,Essential_Gene
WDR24,Essential_Gene
GGT1,Essential_Gene
EXOC3,Essential_Gene
GPR61,Essential_Gene
