sgRNA	Gene	HT29-Reference	HT29-Baseline	HT29-D1	HT29-D2	HT29-80-1	HT29-80-2
sg_162514_4	TRPV3	883	736	828	737	248	942
sg_285636_1	C5orf51	2978	2556	3865	2808	1738	1552
sg_50804_1	MYEF2	878	909	695	615	1519	1653
sg_56895_2	AGPAT4	2222	1819	1619	1474	1296	791
sg_541565_4	C8orf58	4752	4439	4378	4127	1986	1862
sg_2903_1	GRIN2A	1166	1293	1206	883	1745	1079
sg_353514_3	LILRA5	1423	1631	1772	1152	728	1004
sg_9047_4	SH2D2A	5829	5426	5710	4351	7473	4789
sg_81624_4	DIAPH3	2870	2145	1463	1997	644	701
sg_767558_1	LUZP6	5613	4957	5532	4359	3633	3681
sg_9641_2	IKBKE	1007	810	1178	560	370	285
sg_23275_4	POFUT2	4418	4630	5629	4534	4807	2870
sg_55823_2	VPS11	2442	2379	2824	1709	1959	2537
sg_63895_3	PIEZO2	3802	2978	2932	2472	1996	1945
sg_57700_2	FAM160B1	4005	3855	4443	2640	4059	3240
sg_5020_4	OXT	4400	3719	3529	3445	3645	2715
sg_3201_2	HOXA4	1177	1389	1364	1302	2240	660
sg_5291_1	PIK3CB	5665	4734	5210	3878	4004	3772
sg_10741_2	RBBP9	2178	2076	1839	1287	3001	2325
sg_10973_1	ASCC3	1449	853	217	328	740	451
sg_57325_4	CSRP2BP	1364	1282	1362	1081	422	724
sg_11009_1	IL24	1942	1429	864	693	1657	973
sg_11344_4	TWF2	2574	2110	1851	2433	1290	1388
sg_10897_3	YIF1A	941	813	889	800	929	1073
sg_9738_4	CCP110	3826	2803	1707	1375	1294	1533
sg_55255_3	WDR41	1788	1632	1170	1274	916	1168
sg_22879_3	MON1B	6551	5796	6933	5318	6553	5623
sg_7189_4	TRAF6	2225	1420	1604	1475	4822	2874
sg_643311_3	CT47B1	1721	1361	1879	1562	1561	745
sg_57172_4	CAMK1G	2207	1723	1962	1752	745	1269
sg_84934_2	RITA1	3909	3257	3480	2115	1558	1781
sg_11173_2	ADAMTS7	1012	371	295	212	243	260
sg_22927_3	HABP4	1111	921	1090	514	699	593
sg_348645_4	C22orf34	2834	2551	2145	1787	2685	3133
sg_643418_3	LIPN	2741	2557	2147	2374	1662	1104
