sgrna,gene
sg_152816_2,C4orf26
sg_22949_3,PTGR1
sg_10186_3,LHFP
sg_284695_1,ZNF326
sg_388946_1,TMEM247
sg_8065_2,CUL5
sg_140628_2,GATA5
sg_284186_2,TMEM105
sg_55811_1,ADCY10
sg_10110_1,SGK2
sg_23508_3,TTC9
sg_282617_4,IFNL3
sg_3551_2,IKBKB
sg_387103_3,CENPW
sg_55669_2,MFN1
sg_5199_2,CFP
sg_2206_4,MS4A2
sg_54739_1,XAF1
sg_84236_3,RHBDD1
sg_1308_4,COL17A1
sg_11043_3,MID2
sg_4038_1,LRP4
sg_114800_2,CCDC85A
sg_23013_1,SPEN
sg_5064_3,PALM
sg_22823_2,MTF2
sg_6647_2,SOD1
sg_4485_4,MST1
sg_9043_3,SPAG9
sg_9840_3,TESPA1
sg_100505993_2,TMEM210
sg_64083_3,GOLPH3
sg_113146_1,AHNAK2
sg_58495_1,OVOL2
sg_29993_1,PACSIN1
sg_NTC_776,Non_Targeting_Control_776
sg_388551_2,CEACAM16
sg_4057_3,LTF
sg_29954_4,POMT2
sg_403339_4,DEFB133
sg_574414_1,PRR9
sg_5471_2,PPAT
sg_339291_2,LRRC30
sg_NTC_224,Non_Targeting_Control_224
sg_2653_3,GCSH
sg_9741_4,LAPTM4A
sg_64745_1,METTL17
sg_56961_3,SHD
sg_55450_2,CAMK2N1
sg_330_1,BIRC3
sg_148022_1,TICAM1
sg_220136_4,CFAP53
sg_118461_1,C10orf71
sg_4144_1,MAT2A
sg_1195_2,CLK1
sg_57570_2,TRMT5
sg_3454_2,IFNAR1
sg_51594_1,NBAS
sg_124602_3,KIF19
sg_133396_3,IL31RA
sg_54855_1,FAM46C
sg_54537_1,FAM35A
sg_130749_4,CPO
sg_34_2,ACADM
sg_4093_4,SMAD9
sg_5318_4,PKP2
sg_5333_1,PLCD1
sg_10140_3,TOB1
sg_92292_1,GLYATL1
sg_4931_1,NVL
sg_55748_1,CNDP2
sg_153579_1,BTNL9
sg_314_1,AOC2
sg_100129239_3,CXorf51A
sg_8322_3,FZD4
sg_6548_1,SLC9A1
sg_149461_4,CLDN19
sg_6750_4,SST
sg_203100_4,HTRA4
sg_23126_1,POGZ
sg_4284_3,MIP
sg_23269_3,MGA
sg_153_1,ADRB1
sg_8335_2,HIST1H2AB
sg_90407_3,TMEM41A
sg_83716_3,CRISPLD2
sg_23431_3,AP4E1
sg_867_1,CBL
sg_10439_3,OLFM1
sg_440585_2,FAM183A
sg_10816_3,SPINT3
sg_407_1,ARR3
sg_3550_1,IK
sg_6006_3,RHCE
sg_440955_3,TMEM89
sg_9901_3,SRGAP3
sg_57343_1,ZNF304
sg_112970_1,KTI12
sg_4299_4,AFF1
sg_56898_3,BDH2
sg_9420_4,CYP7B1
sg_NTC_28,Non_Targeting_Control_28
sg_400673_3,VMAC
sg_83985_2,SPNS1
sg_83548_4,COG3
sg_100533105_4,C8orf44-SGK3
sg_342931_4,RFPL4A
sg_115361_3,GBP4
sg_NTC_995,Non_Targeting_Control_995
sg_81833_2,SPACA1
sg_401207_2,C5orf63
sg_373863_4,DND1
sg_51053_4,GMNN
sg_79827_4,CLMP
sg_80184_3,CEP290
sg_3033_4,HADH
sg_50964_2,SOST
sg_100861540_3,CYP3A7-CYP3A51P
sg_3728_2,JUP
sg_11068_2,CYB561D2
sg_7113_4,TMPRSS2
sg_1960_1,EGR3
sg_10044_2,SH2D3C
sg_7472_1,WNT2
sg_2845_1,GPR22
sg_26292_1,MYCBP
sg_192668_4,CYS1
sg_51021_2,MRPS16
sg_8875_3,VNN2
sg_27329_3,ANGPTL3
sg_6142_1,RPL18A
sg_5644_2,PRSS1
sg_100861540_2,CYP3A7-CYP3A51P
sg_55593_2,OTUD5
sg_NTC_203,Non_Targeting_Control_203
sg_153241_4,CEP120
sg_9575_4,CLOCK
sg_NTC_973,Non_Targeting_Control_973
sg_84687_3,PPP1R9B
sg_245938_4,DEFB125
